userId,songId,rating,timestamp
520,8928,1,1705967781
23,6730,0,1705960446
328,1045,0,1705953990
340,905,1,1705972539
19,791,0,1705957124
135,8452,1,1705982523
255,4663,1,1705967742
157,3537,1,1705969717
140,4288,1,1705981509
204,7272,0,1705954211
35,1131,1,1705977529
593,9468,1,1705959165
459,7667,0,1705981656
479,2874,0,1705954203
218,5424,1,1705970082
236,7523,0,1705971105
556,8404,0,1705973221
295,370,0,1705972121
575,3315,0,1705979158
392,5826,0,1705954911
51,5489,0,1705963652
407,8863,1,1705978096
180,4381,1,1705980306
189,6439,0,1705978662
538,2885,0,1705953069
213,3283,1,1705952472
163,3711,0,1705964379
437,482,1,1705964886
606,4371,1,1705981495
603,2549,1,1705965584
268,3539,1,1705960475
432,221,0,1705980688
102,4182,0,1705978988
258,4220,1,1705963006
170,3602,0,1705962765
158,8347,0,1705959552
319,6384,1,1705970204
606,5120,1,1705973994
394,1145,0,1705982629
540,4821,0,1705971277
170,9060,0,1705963778
593,8079,1,1705965269
253,7953,0,1705957812
525,5146,1,1705961104
95,8049,1,1705968022
250,9697,0,1705961197
18,7355,0,1705962778
171,1580,0,1705962533
552,5614,0,1705978638
113,7368,1,1705973004
163,1317,1,1705970405
312,6971,1,1705977808
555,1067,0,1705961178
445,1669,1,1705969373
395,5188,0,1705959617
419,3559,0,1705958458
225,5931,1,1705958912
55,1314,0,1705952793
586,3530,1,1705982746
209,1174,0,1705971350
185,9202,1,1705970105
527,9685,1,1705966550
400,9932,0,1705976713
290,2034,1,1705965978
173,627,0,1705975583
598,3521,1,1705961468
57,7788,1,1705962724
278,5644,1,1705953269
299,9308,1,1705953900
111,2161,1,1705964835
85,4489,0,1705971390
155,1006,1,1705979623
216,38,0,1705966715
72,828,0,1705975822
479,5516,1,1705970003
68,8093,1,1705968749
592,258,1,1705969741
592,2838,1,1705974314
451,427,1,1705980633
227,5556,0,1705972135
173,5042,1,1705978151
95,5854,1,1705966970
25,4057,1,1705978139
19,6322,1,1705951017
371,5774,1,1705978493
6,6989,0,1705951120
210,3822,0,1705958902
479,3072,0,1705978380
123,1656,1,1705959252
308,2956,0,1705953531
442,8410,0,1705960507
379,3338,1,1705952820
515,6205,1,1705978698
295,2905,1,1705962656
299,6926,1,1705970350
38,1200,1,1705979903
467,4308,0,1705973436
562,7806,0,1705959177
136,4019,1,1705957694
314,5343,1,1705951853
120,2848,0,1705970654
594,1292,0,1705958332
503,8988,1,1705972070
389,9558,1,1705982016
124,3444,1,1705952073
588,9368,1,1705979028
216,837,0,1705964998
506,5906,1,1705966537
165,682,0,1705981130
413,4346,0,1705976439
74,1778,1,1705961662
346,3523,0,1705978808
382,4863,0,1705958149
585,7077,1,1705979788
511,5590,0,1705971941
399,5293,1,1705961454
498,958,0,1705955676
222,8020,0,1705974445
371,4226,1,1705951943
403,759,1,1705975496
52,117,1,1705963446
578,4011,0,1705964994
193,3478,1,1705982046
567,3104,0,1705971798
159,2829,1,1705963270
67,9611,1,1705976853
359,3156,0,1705964628
533,8883,1,1705956235
600,807,1,1705982059
329,555,1,1705955150
320,490,0,1705971769
438,2287,1,1705971787
211,6058,0,1705973969
260,1931,1,1705963588
304,505,1,1705978442
118,9389,1,1705953783
536,2727,1,1705981322
358,2554,0,1705959316
235,6349,0,1705974425
410,2519,1,1705973309
489,9180,0,1705969748
392,3837,1,1705953138
299,8550,1,1705968889
147,6016,1,1705955893
