userId,songId,rating,timestamp
520,8928,1,1705967781.0
23,6730,0,1705960446.0
328,1045,0,1705953990.0
340,905,1,1705972539.0
19,791,0,1705957124.0
135,8452,1,1705982523.0
255,4663,1,1705967742.0
157,3537,1,1705969717.0
140,4288,1,1705981509.0
204,7272,0,1705954211.0
35,1131,1,1705977529.0
593,9468,1,1705959165.0
459,7667,0,1705981656.0
479,2874,0,1705954203.0
218,5424,1,1705970082.0
236,7523,0,1705971105.0
556,8404,0,1705973221.0
295,370,0,1705972121.0
575,3315,0,1705979158.0
392,5826,0,1705954911.0
51,5489,0,1705963652.0
407,8863,1,1705978096.0
180,4381,1,1705980306.0
189,6439,0,1705978662.0
538,2885,0,1705953069.0
213,3283,1,1705952472.0
163,3711,0,1705964379.0
437,482,1,1705964886.0
606,4371,1,1705981495.0
603,2549,1,1705965584.0
268,3539,1,1705960475.0
432,221,0,1705980688.0
102,4182,0,1705978988.0
258,4220,1,1705963006.0
170,3602,0,1705962765.0
158,8347,0,1705959552.0
319,6384,1,1705970204.0
606,5120,1,1705973994.0
394,1145,0,1705982629.0
540,4821,0,1705971277.0
170,9060,0,1705963778.0
593,8079,1,1705965269.0
253,7953,0,1705957812.0
525,5146,1,1705961104.0
95,8049,1,1705968022.0
250,9697,0,1705961197.0
18,7355,0,1705962778.0
171,1580,0,1705962533.0
552,5614,0,1705978638.0
113,7368,1,1705973004.0
163,1317,1,1705970405.0
312,6971,1,1705977808.0
555,1067,0,1705961178.0
445,1669,1,1705969373.0
395,5188,0,1705959617.0
419,3559,0,1705958458.0
225,5931,1,1705958912.0
55,1314,0,1705952793.0
586,3530,1,1705982746.0
209,1174,0,1705971350.0
185,9202,1,1705970105.0
527,9685,1,1705966550.0
400,9932,0,1705976713.0
290,2034,1,1705965978.0
173,627,0,1705975583.0
598,3521,1,1705961468.0
57,7788,1,1705962724.0
278,5644,1,1705953269.0
299,9308,1,1705953900.0
111,2161,1,1705964835.0
85,4489,0,1705971390.0
155,1006,1,1705979623.0
